1.00,6,2,0
1.01,10,9,0
1.02,5,18,1
1.03,7,18,0
1.04,1,12,0
1.05,3,16,0
1.06,3,12,0
1.07,7,15,0
1.08,4,10,0
1.09,9,17,1
1.1,1,19,0
1.11,9,1,0
1.12,10,20,0
1.13,1,12,0
1.14,3,18,1
1.15,2,9,0
1.16,4,12,0
1.17,5,10,0
1.18,3,8,0
1.19,3,18,1
2.00,5,9,1
2.01,2,2,0
2.02,1,17,0
2.03,6,1,1
2.04,3,2,0
2.05,2,2,0
2.06,2,1,1
2.07,1,1,1
2.08,5,5,0
2.09,5,2,0
2.10,6,12,0
2.11,9,19,0
2.12,10,4,0
2.13,5,20,0
2.14,8,19,0
2.15,9,19,0
2.16,9,20,0
2.17,10,20,0
2.18,6,16,1
2.19,6,19,1
3.00,1,10,0
3.01,2,19,0
3.02,8,7,0
3.03,7,12,0
3.04,4,5,0
3.05,10,15,0
3.06,1,6,0
3.07,5,11,0
3.08,4,14,0
3.09,8,18,1
3.10,8,19,0
3.11,3,11,0
3.12,5,4,0
3.13,5,4,0
3.14,7,6,0
3.15,7,17,0
3.16,8,6,0
3.17,3,16,1
3.18,7,6,0
3.19,7,19,0
4.00,4,11,0
4.01,2,5,1
4.02,5,13,1
4.03,6,16,0
4.04,3,7,0
4.05,7,13,0
4.06,7,15,0
4.07,5,4,0
4.08,6,4,1
4.09,5,12,0
4.10,5,8,1
4.11,6,13,0
4.12,4,13,0
4.13,9,13,0
4.14,5,15,1
4.15,5,13,1
4.16,7,15,0
4.17,5,5,0
4.18,5,10,0
4.19,3,9,0
5.00,1,19,0
5.01,1,19,1
5.02,1,20,0
5.03,3,17,0
5.04,3,9,0
5.05,1,14,0
5.06,1,16,1
5.07,2,12,0
5.08,1,20,0
5.09,6,18,1
5.10,7,14,0
5.11,2,8,0
5.12,1,17,0
5.13,2,10,0
5.14,5,20,1
5.15,1,17,0
5.16,2,20,1
5.17,4,20,0
5.18,3,20,0
5.19,5,9,0
6.00,10,1,0
6.01,5,4,0
6.02,5,6,0
6.002,5,6,0
6.003,2,9,0
6.004,1,2,0
6.005,5,18,1
6.006,5,19,0
6.007,2,10,0
6.011,1,10,1
6.012,3,7,0
6.013,8,18,1
6.033,6,8,0
6.034,8,1,0
6.035,9,16,0
6.045,10,8,0
6.046,10,6,0
6.111,9,3,0
6.115,10,4,0
6.172,6,9,0
6.828,8,19,1
6.837,8,9,0
7.00,7,1,0
7.01,4,8,0
7.02,3,2,0
7.03,2,8,0
7.04,10,5,0
7.05,8,2,1
7.06,4,1,0
7.07,1,13,1
7.08,1,1,0
7.09,1,1,1
7.10,4,4,0
7.11,7,4,0
7.12,8,4,0
7.13,9,6,0
7.14,1,3,1
7.15,3,3,1
7.16,7,1,0
7.17,10,1,0
7.18,10,2,0
7.19,10,5,1
8.00,1,4,0
8.01,2,11,0
8.02,1,6,0
8.03,1,16,0
8.04,1,7,0
8.05,4,12,0
8.06,3,11,0
8.07,2,6,0
8.08,4,1,0
8.09,5,10,0
8.10,4,6,0
8.11,4,12,0
8.12,4,12,0
8.13,4,17,0
8.14,2,12,0
8.15,3,7,0
8.16,3,12,0
8.17,2,6,0
8.18,4,10,0
8.19,2,10,0
9.00,6,10,0
9.01,8,9,1
9.02,8,14,0
9.03,9,3,0
9.04,9,12,0
9.05,5,14,0
9.06,8,13,0
9.07,10,12,0
9.08,2,10,0
9.09,10,13,0
9.10,10,12,1
9.11,9,9,0
9.12,10,8,0
9.13,7,9,1
9.14,9,4,0
9.15,10,9,0
9.16,9,10,0
9.17,9,11,1
9.18,7,16,0
9.19,9,9,1
10.00,1,20,0
10.01,2,20,1
10.02,1,16,0
10.03,6,19,0
10.04,3,13,0
10.05,3,4,0
10.06,1,20,0
10.07,5,18,0
10.08,1,17,0
10.09,6,20,1
10.10,10,19,0
10.11,9,19,0
10.12,10,20,1
10.13,5,20,0
10.14,8,18,0
10.15,8,13,0
10.16,10,14,0
10.17,6,20,0
10.18,10,3,0
10.19,5,17,0
12.00,7,10,0
12.01,6,9,0
12.02,5,5,1
12.03,2,1,0
12.04,7,1,1
12.05,1,14,0
12.06,2,5,0
12.07,6,3,1
12.08,2,4,1
12.09,8,2,0
12.10,8,11,1
12.11,8,12,0
12.12,2,16,0
12.13,7,20,0
12.14,6,20,0
12.15,10,7,0
12.16,7,16,0
12.17,8,18,0
12.18,5,17,0
12.19,5,19,1
14.00,9,20,0
14.01,1,4,0
14.02,10,2,0
14.03,7,12,0
14.04,5,18,1
14.05,9,14,0
14.06,7,5,0
14.07,9,8,0
14.08,8,10,0
14.09,10,20,1
14.10,9,4,0
14.11,4,17,0
14.12,10,13,1
14.13,8,8,0
14.14,9,5,0
14.15,9,9,0
14.16,10,10,0
14.17,9,3,0
14.18,10,12,0
14.19,8,5,0
15.00,6,5,0
15.01,7,1,0
15.02,7,14,1
15.03,3,8,1
15.04,5,11,0
15.05,5,11,0
15.06,3,10,0
15.07,4,6,0
15.08,7,6,0
15.09,5,9,1
15.10,6,5,0
15.11,5,6,1
15.12,4,16,0
15.13,4,10,0
15.14,6,5,0
15.15,3,10,1
15.16,7,5,0
15.17,6,5,0
15.18,3,9,0
15.19,4,14,0
18.00,10,11,0
18.01,10,13,0
18.02,10,9,1
18.03,8,17,0
18.04,10,15,1
18.05,5,19,1
18.06,10,11,1
18.07,3,7,0
18.08,10,3,0
18.09,8,13,0
18.10,10,16,0
18.11,2,9,0
18.12,9,3,0
18.13,8,6,0
18.14,6,4,0
18.15,7,6,0
18.16,9,9,0
18.17,5,11,1
18.18,10,10,1
18.19,9,18,1
20.00,1,4,0
20.01,2,12,0
20.02,4,19,0
20.03,1,17,1
20.04,3,12,0
20.05,1,16,1
20.06,1,19,0
20.07,7,13,0
20.08,3,19,0
20.09,4,14,0
20.10,1,19,0
20.11,2,14,0
20.12,3,20,0
20.13,1,13,0
20.14,1,15,0
20.15,2,9,0
20.16,1,18,0
20.17,2,19,1
20.18,1,18,0
20.19,3,17,0
22.00,10,4,0
22.01,6,2,0
22.02,7,3,0
22.03,10,2,1
22.04,7,3,1
22.05,6,2,0
22.06,10,3,0
22.07,9,11,0
22.08,9,8,0
22.09,10,11,0
22.10,10,17,0
22.11,8,19,1
22.12,10,18,0
22.13,9,19,0
22.14,8,18,0
22.15,8,19,0
22.16,8,18,1
22.17,10,10,1
22.18,10,13,0
22.19,9,10,0
24.00,5,6,0
24.01,4,2,0
24.02,8,15,0
24.03,7,6,0
24.04,8,9,0
24.05,9,14,1
24.06,10,8,0
24.07,3,15,0
24.08,2,8,0
24.09,7,14,0
24.10,2,14,0
24.11,6,9,0
24.12,6,1,0
24.13,9,7,0
24.14,5,9,0
24.15,5,6,0
24.16,7,5,0
24.17,8,17,0
24.18,6,9,1
24.19,4,18,0
